#target name         accession query name                        accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- --------------------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JABFPA010093208.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      402      452      +    no    1 0.20   3.1   22.2      0.41 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_94088_length_466_cov_2.132743, whole genome shotgun sequence
JABFPA010034805.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      458      229      -    no    1 0.35   0.8   20.8      0.93 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_34908_length_690_cov_1.808171, whole genome shotgun sequence
JABFPA010021300.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      283      343      +    no    1 0.25   0.4   19.6       1.8 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_21351_length_818_cov_1.079595, whole genome shotgun sequence
JABFPA010024490.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      262      178      -    no    1 0.34   0.3   19.3       2.2 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_24553_length_780_cov_2.511485, whole genome shotgun sequence
JABFPA010084366.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      161      249      +    no    1 0.34   0.0   19.2       2.3 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_85040_length_488_cov_0.950139, whole genome shotgun sequence
JABFPA010068233.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      384      326      -    no    1 0.22   0.5   19.1       2.4 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_68596_length_533_cov_1.699507, whole genome shotgun sequence
JABFPA010093208.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      267      313      +    no    1 0.17   4.8   18.9       2.8 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_94088_length_466_cov_2.132743, whole genome shotgun sequence
JABFPA010108876.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      114      327      +    no    1 0.33   6.8   18.6       3.4 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_110110_length_434_cov_1.306189, whole genome shotgun sequence
JABFPA010087098.1    -         result_bombus2_vs_BombusTraining2 -          cm       61      257      421      247      -    5'    2 0.34   0.5   18.3         4 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_87821_length_481_cov_0.935028, whole genome shotgun sequence
JABFPA010091467.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      379      448      +    no    1 0.33   0.0   18.2       4.1 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_92302_length_470_cov_1.708455, whole genome shotgun sequence
JABFPA010060488.1    -         result_bombus2_vs_BombusTraining2 -          cm       21      257       71      261      +    5'    2 0.40   0.0   17.9       4.9 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_60745_length_560_cov_1.157044, whole genome shotgun sequence
JABFPA010021450.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      392      279      -    no    1 0.36   0.1   17.6       5.9 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_21501_length_816_cov_1.062409, whole genome shotgun sequence
JABFPA010028166.1    -         result_bombus2_vs_BombusTraining2 -          cm      175      257        1       85      +    5'    2 0.32   0.4   17.5       6.3 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_28242_length_743_cov_2.100649, whole genome shotgun sequence
JABFPA010032690.1    -         result_bombus2_vs_BombusTraining2 -          cm       51      257        1       84      +    5'    2 0.25   1.2   17.2       7.3 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_32786_length_704_cov_2.487889, whole genome shotgun sequence
JABFPA010026078.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      438      553      +    no    1 0.28   5.0   17.2       7.3 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_26149_length_764_cov_1.025118, whole genome shotgun sequence
JABFPA010109942.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      299      237      -    no    1 0.32   0.0   17.2       7.4 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_111192_length_432_cov_1.472131, whole genome shotgun sequence
JABFPA010046608.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      183      249      +    no    1 0.36   0.0   16.9       8.8 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_46763_length_620_cov_1.091278, whole genome shotgun sequence
JABFPA010064692.1    -         result_bombus2_vs_BombusTraining2 -          cm        1      257      236      145      -    no    1 0.28   1.1   16.9         9 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_65001_length_545_cov_1.387560, whole genome shotgun sequence
#
# Program:         cmsearch
# Version:         1.1.2 (July 2016)
# Pipeline mode:   SEARCH
# Query file:      models_calibrated/cov_model_bombus3
# Target file:     database/GCA_022817605.1_ASM2281760v1_genomic/GCA_022817605.1_ASM2281760v1_genomic.fna
# Option settings: cmsearch -o results/raw_infernal/bombus3/GCA_022817605.1_ASM2281760v1_genomic/result_bombus3_vs_GCA_022817605.1_ASM2281760v1_genomic -A results/raw_infernal/bombus3/GCA_022817605.1_ASM2281760v1_genomic/result_bombus3_vs_GCA_022817605.1_ASM2281760v1_genomic-alignment --tblout results/raw_infernal/bombus3/GCA_022817605.1_ASM2281760v1_genomic/result_bombus3_vs_GCA_022817605.1_ASM2281760v1_genomic.csv --notextw models_calibrated/cov_model_bombus3 database/GCA_022817605.1_ASM2281760v1_genomic/GCA_022817605.1_ASM2281760v1_genomic.fna 
# Current dir:     /home/kilar/Desktop/GERONIMO/GERONIMO
# Date:            Wed Dec  7 15:56:24 2022
# [ok]
