#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JABFPA010060924.1    -         insects              -          cm        1      281      275       94      -    no    1 0.31   4.2   30.5   2.4e-05 !   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_61188_length_558_cov_1.712297, whole genome shotgun sequence
JABFPA010012992.1    -         insects              -          cm        6      239      774      619      -    no    1 0.32   0.8   23.1    0.0055 !   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_13021_length_957_cov_2.169675, whole genome shotgun sequence
JABFPA010008882.1    -         insects              -          cm        1      281      352       59      -    no    1 0.37   4.1   19.9     0.056 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_8903_length_1080_cov_1.503145, whole genome shotgun sequence
JABFPA010000004.1    -         insects              -          cm        1      281     1947     1885      -    no    1 0.30   0.0   19.3     0.088 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_4_length_13364_cov_14.516809, whole genome shotgun sequence
JABFPA010002963.1    -         insects              -          cm        1      281     1279     1327      +    no    1 0.43   0.0   19.2     0.095 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_2966_length_1531_cov_1.905271, whole genome shotgun sequence
JABFPA010080178.1    -         insects              -          cm        1      218      357      497      +    3'    3 0.32   1.0   17.7      0.29 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_80756_length_497_cov_0.940860, whole genome shotgun sequence
JABFPA010095114.1    -         insects              -          cm        1      281      407      311      -    no    1 0.30   0.1   17.1      0.46 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_96031_length_462_cov_1.459701, whole genome shotgun sequence
JABFPA010000099.1    -         insects              -          cm       15       60     2292     2326      +    no    1 0.26   0.0   17.0      0.49 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_99_length_5641_cov_4.601197, whole genome shotgun sequence
JABFPA010089987.1    -         insects              -          cm        1      281      121      213      +    no    1 0.40   0.2   17.0      0.49 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_90788_length_474_cov_0.844380, whole genome shotgun sequence
JABFPA010036756.1    -         insects              -          cm        1      281      387      292      -    no    1 0.31   0.1   16.6      0.67 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_36868_length_677_cov_1.690909, whole genome shotgun sequence
JABFPA010005163.1    -         insects              -          cm        1      281      357      269      -    no    1 0.38   0.0   16.5       0.7 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_5178_length_1277_cov_1.244348, whole genome shotgun sequence
